date,Apple,Avocado,Banana,Broccoli,Corn,Cranberries,Dates,Limes,Peas,Peppers,Pineapple,Pumpkin,Tomato
2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,0,100,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,74,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,100,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,100,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,100
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,17,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,100,0,0,0,68
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,15,41,0,0,0,0,0,100,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,100,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,57
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,65,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,29,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,25,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,100,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,8,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,9,0,0,0,0,0,0,0,0,0,0
2013-07-01,100,36,0,0,0,0,0,0,0,0,0,0,37
2013-08-01,91,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,22,0,0,0,0,0,0,0,57,0
2013-10-01,0,32,8,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,58,0,0
2013-12-01,0,32,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,18,0,0,0,100,0,0,0,0,0
2014-02-01,88,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0,0,0,45,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,12,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,8,0,0,0,0,0,0,0,0,0,0
2014-08-01,86,0,7,20,0,0,0,0,0,0,0,0,0
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,100,0
2014-11-01,0,31,7,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,26,6,0,0,0,0,0,0,0,0,0,0
2015-02-01,82,29,0,19,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,13,0,0,0,0,0,43,0,0,0,0
2015-04-01,0,30,7,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,50,0
2015-06-01,81,0,0,0,88,0,0,0,0,0,0,0,0
2015-07-01,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,27,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-12-01,79,0,7,0,0,100,0,0,0,0,0,0,0
2016-01-01,75,27,6,17,0,0,0,0,0,0,0,0,0
2016-02-01,80,0,7,19,0,0,0,0,0,0,0,0,0
2016-03-01,0,29,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,29,7,0,0,0,0,0,0,0,0,0,29
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,21,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,8,0,0,0,0,0,0,0,58,0,33
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,96,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,12,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,22,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,7,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,11,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,0,72
2017-05-01,0,0,8,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,8,0,0,0,0,0,0,0,0,0,35
2017-07-01,0,34,0,22,100,0,0,0,0,0,0,0,0
2017-08-01,0,0,0,20,0,0,0,0,0,48,0,0,0
2017-09-01,0,0,7,0,0,0,0,0,0,0,0,0,32
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,73,0,6,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,6,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,25,0,0,0,0,20,0,0,0,0,0,0
2018-02-01,0,0,7,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,26,6,25,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,52,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,20,0,0,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,0,0,7,19,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,49,0
2018-11-01,0,0,7,20,0,0,0,0,0,0,0,0,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
